Time (GMT),Wave Height (m),Max Wave Height (m),Tpeak (s),Tz (s),Peak Direction (degrees),Spread (degrees),Sea Temp (°C)
06-11-2017 15:00,0.69,1.03,4.2,3.2,194,13,13.4
06-11-2017 14:30,0.64,0.87,3.9,3.2,193,15,13.4
06-11-2017 14:00,0.54,1.33,3.7,3.1,188,19,13.3
06-11-2017 13:30,0.58,0.94,3.7,3.2,188,17,13.3
06-11-2017 13:00,0.51,0.7,3.3,3.1,191,18,13.3
06-11-2017 12:30,0.49,0.8,3.1,3.2,179,23,13.3
06-11-2017 12:00,0.47,0.74,16.7,3.2,184,25,13.4
06-11-2017 11:30,0.45,0.7,16.7,3.2,177,31,13.5
06-11-2017 11:00,0.45,0.61,11.8,3.4,180,25,13.5
06-11-2017 10:30,0.39,0.71,15.4,4.2,177,19,13.4
06-11-2017 10:00,0.34,0.65,15.4,5.1,179,20,13.6
06-11-2017 09:30,0.34,0.53,7.1,5.6,173,21,13.7
06-11-2017 09:00,0.33,0.51,16.7,6.2,174,33,13.7
06-11-2017 08:30,0.31,0.5,15.4,5.8,186,26,13.7
06-11-2017 08:00,0.32,0.54,14.3,5.7,184,32,13.7
06-11-2017 07:30,0.33,0.42,14.3,5.9,183,36,13.7
06-11-2017 07:00,0.31,0.52,12.5,5.6,165,28,13.7
06-11-2017 06:30,0.32,0.48,7.1,5.6,177,22,13.7
06-11-2017 06:00,0.33,0.43,9.1,5.6,183,26,13.7
06-11-2017 05:30,0.35,0.47,13.3,6,183,34,13.7
06-11-2017 05:00,0.32,0.46,14.3,5.9,184,23,13.7
06-11-2017 04:30,0.3,0.53,14.3,5.6,174,22,13.7
06-11-2017 04:00,0.29,0.46,11.8,5.3,186,20,13.6
06-11-2017 03:30,0.29,0.53,12.5,5.6,179,21,13.6
06-11-2017 03:00,0.28,0.4,14.3,5.6,179,15,13.6
06-11-2017 02:30,0.28,0.44,14.3,5.8,173,12,13.6
06-11-2017 02:00,0.29,0.39,14.3,5.9,173,11,13.6
06-11-2017 01:30,0.29,0.43,14.3,5.9,169,20,13.6
06-11-2017 01:00,0.28,0.45,14.3,5.8,172,21,13.6
06-11-2017 00:30,0.29,0.42,12.5,6.1,173,13,13.6
06-11-2017 00:00,0.31,0.44,15.4,6.3,179,17,13.6
05-11-2017 23:30,0.31,0.4,7.7,6.3,177,19,13.6
05-11-2017 23:00,0.32,0.42,12.5,6.3,181,15,13.7
05-11-2017 22:30,0.32,0.5,11.1,6.2,179,16,13.7
05-11-2017 22:00,0.3,0.53,11.8,6.1,170,17,13.7
05-11-2017 21:30,0.29,0.46,9.1,6.3,188,20,13.7
05-11-2017 21:00,0.33,0.41,15.4,7.1,184,21,13.7
05-11-2017 20:30,0.31,0.43,15.4,6.9,180,23,13.8
05-11-2017 20:00,0.3,0.46,11.8,6.6,190,25,13.8
05-11-2017 19:30,0.29,0.42,15.4,6.6,184,35,13.8
05-11-2017 19:00,0.26,0.41,14.3,6.5,169,29,13.8
05-11-2017 18:30,0.28,0.42,14.3,6.5,188,37,13.8
05-11-2017 18:00,0.3,0.44,15.4,6.6,194,45,13.8
05-11-2017 17:30,0.3,0.43,15.4,6.6,193,53,13.8
05-11-2017 17:00,0.31,0.44,10.5,5.7,184,40,13.8
05-11-2017 16:30,0.3,0.45,15.4,5.3,166,46,13.7
05-11-2017 16:00,0.3,0.48,11.8,3.7,188,35,13.7
05-11-2017 15:30,0.31,0.46,13.3,3.3,174,43,13.7
05-11-2017 15:00,0.31,0.48,15.4,3.1,181,52,13.7
