Time (GMT),Wave Height (m),Max Wave Height (m),Tpeak (s),Tz (s),Peak Direction (degrees),Spread (degrees),Sea Temp (°C)
06-11-2017 14:30,1.21,1.73,12.5,5.1,293,23,13.4
06-11-2017 14:00,1.19,1.9,11.1,5.1,290,13,13.4
06-11-2017 13:30,1.17,1.95,12.5,5.4,287,19,13.4
06-11-2017 13:00,1.12,1.91,11.8,5.4,287,17,13.4
06-11-2017 12:30,1.25,1.87,11.1,5.9,294,15,13.5
06-11-2017 12:00,1.28,1.69,11.8,6.3,291,14,13.5
06-11-2017 11:30,1.12,1.77,13.3,5.7,301,40,13.5
06-11-2017 11:00,1.17,1.89,13.3,5.8,300,35,13.5
06-11-2017 10:30,1.25,1.84,11.1,6.2,288,28,13.5
06-11-2017 10:00,1.29,1.57,11.8,6.1,291,30,13.5
06-11-2017 09:30,1.29,1.92,11.1,6,284,28,13.4
06-11-2017 09:00,1.34,1.91,13.3,5.8,278,45,13.3
06-11-2017 08:30,1.44,1.99,11.8,6,283,40,13.4
06-11-2017 08:00,1.5,1.9,13.3,5.7,280,43,13.4
06-11-2017 07:30,1.64,2.22,11.1,5.7,257,49,13.4
06-11-2017 07:00,1.54,2.05,10.5,5.6,266,46,13.4
06-11-2017 06:30,1.61,2.31,12.5,5.6,248,42,13.4
06-11-2017 06:00,1.8,2.27,12.5,5.9,267,32,13.4
06-11-2017 05:30,1.79,2.62,11.1,5.6,252,49,13.4
06-11-2017 05:00,1.81,2.81,11.8,5.6,271,45,13.5
06-11-2017 04:30,1.91,2.67,12.5,5.8,276,37,13.5
06-11-2017 04:00,2.01,3.09,10.5,5.6,281,28,13.3
06-11-2017 03:30,1.85,3,11.1,5.6,269,36,13.3
06-11-2017 03:00,1.79,3.05,10,5.6,283,17,13.3
06-11-2017 02:30,1.6,2.79,11.8,5.4,288,23,13.4
06-11-2017 02:00,1.76,2.6,13.3,5.8,294,19,13.4
06-11-2017 01:30,1.74,2.78,14.3,6.1,305,13,13.4
06-11-2017 01:00,1.72,2.46,13.3,6.1,301,13,13.4
06-11-2017 00:30,1.81,2.74,14.3,6.3,309,19,13.4
06-11-2017 00:00,1.99,2.55,14.3,6.7,301,20,13.4
05-11-2017 23:30,2,2.85,12.5,6.5,307,19,13.4
05-11-2017 23:00,2.02,3.39,13.3,6.5,305,20,13.4
05-11-2017 22:30,2.07,2.88,12.5,5.9,291,32,13.4
05-11-2017 22:00,2.1,3.36,13.3,5.8,293,28,13.5
05-11-2017 21:30,2.3,3.73,13.3,5.7,301,37,13.5
05-11-2017 21:00,2.45,3.42,6.7,5.7,304,50,13.5
05-11-2017 20:30,2.55,3.31,11.1,6,283,32,13.5
05-11-2017 20:00,2.53,3.69,14.3,5.6,280,42,13.2
05-11-2017 19:30,2.43,3.49,15.4,5.5,287,54,13.2
05-11-2017 19:00,2.59,3.56,14.3,5.6,259,61,13.2
05-11-2017 18:30,3.04,3.89,13.3,5.9,252,48,13.2
05-11-2017 18:00,3.09,4.34,14.3,6,260,48,13.3
05-11-2017 17:30,3.04,4.61,13.3,6.1,267,50,13.3
05-11-2017 17:00,3.25,4.54,14.3,6.3,257,43,13.4
05-11-2017 16:30,3.1,4.56,7.1,6,287,43,13.2
05-11-2017 16:00,2.99,4.7,7.1,5.9,278,40,13.4
05-11-2017 15:30,3.11,5.86,7.1,6.1,287,30,13.5
05-11-2017 15:00,3.05,4.48,8.3,6,280,20,13.5
05-11-2017 14:30,2.82,4.58,7.1,5.9,286,27,13.5
