Time (GMT),Wave Height (m),Max Wave Height (m),Tpeak (s),Tz (s),Peak Direction (degrees),Spread (degrees),Sea Temp (°C)
06-11-2017 14:30,1.6,2.55,11.1,4.7,287,27,13.6
06-11-2017 14:00,1.65,2.54,12.5,5,294,19,13.6
06-11-2017 13:30,1.58,2.23,12.5,5.2,290,17,13.7
06-11-2017 13:00,1.75,2.67,12.5,5.8,284,23,13.7
06-11-2017 12:30,1.54,2.36,11.1,5.8,283,20,13.7
06-11-2017 12:00,1.43,2.16,10,5.9,283,28,13.7
06-11-2017 11:30,1.47,2.02,12.5,6.3,281,34,13.7
06-11-2017 11:00,1.51,2.18,10.5,6.5,287,27,13.7
06-11-2017 10:30,1.41,2.32,9.1,6.3,283,22,13.7
06-11-2017 10:00,1.53,2.71,10.5,6.6,288,23,13.7
06-11-2017 09:30,1.57,2.16,12.5,6.6,287,21,13.7
06-11-2017 09:00,1.48,2.37,12.5,6.6,290,18,13.7
06-11-2017 08:30,1.65,2.23,11.8,6.3,284,18,13.7
06-11-2017 08:00,1.66,2.24,11.8,6.3,287,23,13.7
06-11-2017 07:30,1.51,2.11,11.1,6,286,22,13.7
06-11-2017 07:00,1.51,2.44,11.8,5.8,293,31,13.7
06-11-2017 06:30,1.51,2.27,11.1,5.8,281,40,13.7
06-11-2017 06:00,1.47,2.13,12.5,5.5,281,37,13.7
06-11-2017 05:30,1.61,2.27,11.1,5.8,283,31,13.7
06-11-2017 05:00,1.54,2.02,12.5,5.9,290,23,13.7
06-11-2017 04:30,1.73,2.79,13.3,6.1,293,13,13.6
06-11-2017 04:00,1.83,2.48,10,5.8,290,30,13.6
06-11-2017 03:30,1.86,3.09,10.5,5.8,288,29,13.6
06-11-2017 03:00,2.01,2.81,11.8,5.9,290,23,13.6
06-11-2017 02:30,2.09,3.09,11.1,5.9,287,15,13.6
06-11-2017 02:00,2.12,3.25,9.1,5.9,280,17,13.6
06-11-2017 01:30,2.22,2.68,14.3,5.9,286,13,13.7
06-11-2017 01:00,2.32,3.34,14.3,6.2,293,17,13.6
06-11-2017 00:30,2.25,3.16,10.5,6.2,284,21,13.7
06-11-2017 00:00,2.14,4.33,10,6.3,278,31,13.7
05-11-2017 23:30,2.2,3.68,7.7,6.1,269,30,13.7
05-11-2017 23:00,2.23,3.03,10.5,6.3,281,32,13.7
05-11-2017 22:30,2.27,3.31,14.3,6.3,284,23,13.7
05-11-2017 22:00,2.34,4.28,10.5,6.3,284,30,13.7
05-11-2017 21:30,2.4,3.29,11.1,6.3,290,26,13.7
05-11-2017 21:00,2.43,3.18,14.3,6.1,290,27,13.7
05-11-2017 20:30,2.89,3.64,14.3,6.6,286,16,13.7
05-11-2017 20:00,2.61,4.33,13.3,6,291,24,13.7
05-11-2017 19:30,2.66,4.07,13.3,6.2,291,22,13.7
05-11-2017 19:00,2.86,3.73,14.3,6.3,295,26,13.7
05-11-2017 18:30,2.75,4.37,14.3,6.2,295,19,13.7
05-11-2017 18:00,2.65,4.27,6.3,5.9,323,36,13.7
05-11-2017 17:30,2.73,3.9,7.1,6.1,311,39,13.7
05-11-2017 17:00,2.68,4.14,7.1,6.1,311,38,13.7
05-11-2017 16:30,2.64,4.11,7.1,6,309,32,13.7
05-11-2017 16:00,2.81,3.49,11.1,6.2,283,21,13.7
05-11-2017 15:30,2.91,3.9,10.5,6.3,293,27,13.7
05-11-2017 15:00,3.07,4.42,14.3,6.3,291,26,13.7
05-11-2017 14:30,3.13,5.35,6.7,6.3,294,36,13.7
