Time (GMT),Wave Height (m),Max Wave Height (m),Tpeak (s),Tz (s),Peak Direction (degrees),Spread (degrees),Sea Temp (°C)
06-11-2017 15:00,0.93,1.53,11.1,3.7,242,29,13.7
06-11-2017 14:30,0.88,1.33,10.5,3.7,245,22,13.6
06-11-2017 14:00,0.79,1.27,11.8,3.6,231,32,13.6
06-11-2017 13:30,0.77,1.18,10.5,3.8,242,28,13.6
06-11-2017 13:00,0.84,1.21,11.8,3.8,246,23,13.6
06-11-2017 12:30,0.76,1.27,11.1,3.6,246,22,13.6
06-11-2017 12:00,0.68,1.24,10,3.6,239,23,13.5
06-11-2017 11:30,0.66,1.01,11.8,3.7,259,43,13.5
06-11-2017 11:00,0.62,1.09,11.1,3.9,241,37,13.5
06-11-2017 10:30,0.65,0.97,10.5,4.1,245,23,13.5
06-11-2017 10:00,0.64,0.9,11.1,4.4,239,29,13.4
06-11-2017 09:30,0.68,1.13,11.1,4.5,241,29,13.4
06-11-2017 09:00,0.73,0.91,12.5,4.9,245,54,13.4
06-11-2017 08:30,0.72,0.94,11.1,4.9,246,24,13.5
06-11-2017 08:00,0.78,1.14,11.8,5.1,243,23,13.5
06-11-2017 07:30,0.83,0.99,13.3,5.3,229,26,13.5
06-11-2017 07:00,0.85,1.31,10.5,5.3,255,23,13.5
06-11-2017 06:30,0.92,1.11,11.1,5.5,249,29,13.6
06-11-2017 06:00,0.89,1.29,11.1,5.5,241,24,13.5
06-11-2017 05:30,0.87,1.31,11.1,5.6,241,23,13.6
06-11-2017 05:00,0.82,1.25,11.1,5.5,241,23,13.6
06-11-2017 04:30,0.81,1.4,11.1,5.5,249,27,13.6
06-11-2017 04:00,0.81,1.7,11.8,5.3,241,28,13.6
06-11-2017 03:30,0.84,1.21,11.1,5.6,252,24,13.6
06-11-2017 03:00,0.77,1.09,10.5,5.3,248,21,13.6
06-11-2017 02:30,0.74,1.53,10.5,4.9,241,27,13.6
06-11-2017 02:00,0.75,1.12,11.1,5.3,249,31,13.6
06-11-2017 01:30,0.78,1.1,10.5,5.8,246,26,13.6
06-11-2017 01:00,0.81,1.34,10,5.6,248,13,13.6
06-11-2017 00:30,0.81,1.19,11.1,5.6,249,21,13.6
06-11-2017 00:00,0.72,1.23,11.1,5.3,245,27,13.6
05-11-2017 23:30,0.74,1.16,10.5,5.3,245,14,13.5
05-11-2017 23:00,0.7,1.31,10.5,5.1,243,17,13.5
05-11-2017 22:30,0.71,1.03,14.3,5.1,241,45,13.5
05-11-2017 22:00,0.7,1.06,15.4,5.3,233,64,13.6
05-11-2017 21:30,0.72,1.12,8.3,4.9,238,18,13.6
05-11-2017 21:00,0.83,1.14,10,4.9,249,14,13.7
05-11-2017 20:30,0.85,1.02,11.1,4.9,241,22,13.7
05-11-2017 20:00,0.91,1.23,12.5,4.9,242,33,13.7
05-11-2017 19:30,0.98,1.29,10.5,4.9,238,15,13.7
05-11-2017 19:00,1.06,1.35,10,4.9,246,27,13.7
05-11-2017 18:30,1.12,1.34,11.8,5.1,250,38,13.7
05-11-2017 18:00,1.12,1.94,11.1,5.1,245,27,13.7
05-11-2017 17:30,1.15,1.7,10.5,5,241,19,13.7
05-11-2017 17:00,1.17,2.11,7.7,5.1,246,23,13.7
05-11-2017 16:30,1.11,1.77,11.8,4.7,243,25,13.7
05-11-2017 16:00,1.1,1.82,11.1,4.8,242,24,13.7
05-11-2017 15:30,1.18,1.85,11.8,5,242,28,13.7
05-11-2017 15:00,1.16,2.07,10.5,4.8,245,20,13.7
